Feature,Importance
O2Sat_t9,0.002433407015402447
Potassium_t8,0.0024313115228217132
DBP_t1,0.0024137445519213895
Glucose_t8,0.002410799005396346
FiO2_t8,0.002409991606100177
Hct_t5,0.0024098044203658313
BaseExcess_t7,0.00239267373051791
PTT_t8,0.0023916907318177042
Phosphate_t8,0.0023824384747653175
DBP_t3,0.0023719433542756323
Platelets_t8,0.002338082827226447
Chloride_t9,0.0023326016512559954
PaCO2_t9,0.002322170918073961
Platelets_t7,0.0023209615602260477
PaCO2_t7,0.0023154813268906134
DBP_t5,0.002311543534458766
Unit1_t5,0.0023112845342938256
DBP_t4,0.0023053786535236296
BaseExcess_t9,0.002301033460331633
Magnesium_t9,0.002299613559463693
Phosphate_t10,0.002289893730494825
DBP_t7,0.0022838964005113182
